代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
002377.SZ	2014-06-18	信息披露虚假或严重误导性陈述	高庆寿	公司高管	公开批评	中国证券监督管理委员会湖北监管局		《上市公司信息披露管理办法》	是	制造业	石油加工
002377.SZ	2014-06-18	信息披露虚假或严重误导性陈述	钱静	公司高管	公开批评	中国证券监督管理委员会湖北监管局		《上市公司信息披露管理办法》	是	制造业	石油加工
000007.SZ	2014-06-18	信息披露虚假或严重误导性陈述	练卫飞	公司高管	公开处罚	中国证券监督管理委员会深圳监管局	30	《证券法》	否	住宿和餐饮业	餐饮
600186.SH	2014-06-14	涉嫌违反证券法律法规	郑德洲	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	史克龙	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	牛文中	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	武明	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	河南莲花味精股份有限公司	公司本身	公开处罚	中国证券监督管理委员会	50	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	刘成忠	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	韩秋月	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	潘守前	公司高管	公开处罚	中国证券监督管理委员会	5	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	谢清喜	公司高管	公开处罚	中国证券监督管理委员会	10	《证券法》	否	制造业	调味品
600186.SH	2014-06-14	涉嫌违反证券法律法规	高君	公司高管	公开处罚	中国证券监督管理委员会	30	《证券法》	否	制造业	调味品
