,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum,mean_volume,std_volume,zscore_volume,signal
2015-06-24,14.6598,14.8291,14.1373,14.6671,14.5581,3.9823,59323156.0,1173516992.0,33049.0,79176847.76,21584156.4361,-0.91982708793,0
2015-06-25,14.7187,14.7187,13.6148,13.762,14.2756,3.7375,55676158.0,1079999456.0,30103.0,79158563.46,21604058.3419,-1.08694417912,0
2015-06-26,13.3204,13.3278,12.3858,12.3858,12.6684,4.1403,61676376.0,1061702896.0,27328.0,79048108.5,21680434.2228,-0.801263126074,0
2015-06-29,12.5182,12.6581,11.1494,11.1494,11.5592,5.2825,78691223.0,1235994112.0,32197.0,79620984.36,21273102.1373,-0.0437059604189,0
2015-06-30,10.671,12.1429,10.0381,12.0031,10.9016,6.7474,100513783.0,1488940992.0,42157.0,80006751.38,21476704.4301,0.954850018388,0
2015-07-01,11.6277,12.0178,10.8035,10.8035,11.4901,5.1892,77302123.0,1206912096.0,37380.0,79817083.28,21457483.9846,-0.117206671658,0
2015-07-02,10.6416,10.7888,9.7217,9.7217,10.0371,5.317,79205859.0,1080258880.0,31731.0,80373762.9,21061865.4378,-0.0554511139315,0
2015-07-03,9.2065,9.7217,8.7502,8.7502,8.9311,5.8269,86802082.0,1053404144.0,34398.0,80527613.08,21080529.8634,0.297642846772,0
2015-07-06,9.5598,9.5598,7.8745,7.8745,8.3823,6.8866,102587228.0,1168468208.0,40116.0,80020919.04,20204372.4396,1.11690224616,0
2015-07-07,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,78102268.46,23021163.1864,-3.39262911381,-1
2015-07-08,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,76375808.36,25495927.7956,-2.99560812112,-1
2015-07-09,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,75031538.88,27668237.5488,-2.7118293584,-1
2015-07-10,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,73348506.24,29594526.1309,-2.47844841021,-1
2015-07-13,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,71316358.08,31066393.4838,-2.29561111164,-1
2015-07-14,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,70171457.74,32611942.1757,-2.15171047962,-1
2015-07-15,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,68963699.92,34067394.552,-2.02433150016,-1
2015-07-16,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,67722999.18,35427361.6807,-1.91160154093,0
2015-07-17,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,65875542.14,36507738.717,-1.80442679977,0
2015-07-20,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,64320428.46,37630172.62,-1.70927806018,0
2015-07-21,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,62965869.58,38708547.162,-1.62666579338,0
2015-07-22,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,61546260.5,39697563.8531,-1.55037877709,0
2015-07-23,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,60316886.8,40640610.1303,-1.48415308251,0
2015-07-24,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,58553874.94,41314943.0614,-1.41725658082,0
2015-07-27,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,57610736.86,42111002.8135,-1.36806850967,0
2015-07-28,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,56492254.58,42892150.8243,-1.31707674934,0
2015-07-29,7.8745,7.8745,7.8745,7.8745,,0.0,0.0,0.0,0.0,55333503.6,43628591.1391,-1.26828536415,0
