sid	unlock_date	total_equity	ratio_to_total_equity	type	after_ratio_to_total_equity	before_ratio_to_total_equity	after_total_number	before_total_number	cumsum_unlock_times
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9
sid	date	c	c	d	c	c	c	c	d
601588.SS	20070116	336702	5.94	首发机构配售股份	28.21	22.27	95000	75000	2
600129.SS	20070116	25260	15.15	股权分置限售股份	54.34	39.19	13727.53	9900	2
600869.SS	20070116	12000	24.56	股权分置限售股份	54.56	30	6547.63	3600	2
000060.SZ	20070116	66480	0.3	股权分置限售股份	59.06	58.76	39260.18	39063.66	3
000035.SZ	20070116	15000.66	22.6	股权分置对价股份	51.03	28.43	7655.48	4264.92	1
000544.SZ	20070116	26945.98	2.01	股权分置对价股份	42.36	40.36	11414.61	10874.16	1
000973.SZ	20070116	61255.49	10	股权分置限售股份	60.69	50.69	37175.29	31049.74	2
600831.SS	20070117	20837.22	3.48	股权分置限售股份	37.39	33.91	7791.66	7066.08	2
600317.SS	20070117	25708.16	2.86	股权分置限售股份	52.36	49.51	13461.58	12727.46	2
600749.SS	20070118	8000	19.32	股权分置限售股份	58.32	39	4665.36	3120	2
600779.SS	20070118	48854.57	9.97	股权分置限售股份	60.09	50.12	29356.78	24488.05	2
600880.SS	20070118	18225.21	19.7	股权分置限售股份	61.84	42.14	11270.27	7680.32	2
002072.SZ	20070118	16000	8.75	首发机构配售股份	43.75	35	7000	5600	2
002074.SZ	20070118	6900	6.96	首发机构配售股份	34.78	27.83	2400	1920	2
600017.SS	20070118	63000	7.3	首发机构配售股份	36.51	29.21	23000	18400	2
600131.SS	20070118	50412.52	10.79	股权分置对价股份	44.49	33.7	22428.78	16991.5	1
600258.SS	20070118	23140	9.08	股权分置对价股份	39.33	30.25	9100	7000	1
002073.SZ	20070118	7123.5	5.05	首发机构配售股份	25.27	20.21	1800	1440	2
000153.SZ	20070118	26000.92	2.05	股权分置限售股份	53.96	51.92	14030.95	13499.19	2
600626.SS	20070119	47349.52	13.68	股权分置限售股份	68.93	55.24	32636.69	26157.68	2
600292.SS	20070119	33450	12.3	股权分置限售股份	59.66	47.35	19955.41	15840	2
600126.SS	20070119	64533.75	5	股权分置限售股份	39.93	34.93	25768.69	22542	2
000661.SZ	20070119	13132.66	9.11	股权分置对价股份	69.88	60.77	9176.73	7980.34	1
000608.SZ	20070119	29204.03	25.87	股权分置限售股份	88.03	62.16	25708.28	18154.64	2
600601.SS	20070119	124126.32	21.82	配股一般股份	100	78.18	124126.32	97044.7	1
000539.SZ	20070119	265940.4	8.87	股权分置限售股份	28.15	19.28	74875.26	51282.46	2
600711.SS	20070122	6792	11.13	股权分置对价股份	33.39	22.26	2268	1512	1
600466.SS	20070123	17560.23	27.05	股权分置对价股份	55.52	28.47	9750	5000	1
600120.SS	20070123	50547.35	14.86	股权分置限售股份	68.84	53.98	34795.07	27284.54	2
600533.SS	20070123	40500	9.15	股权分置限售股份	37.6	28.44	15226.74	11520	2
600754.SS	20070123	60324.07	8.12	股权分置限售股份	29.48	21.36	17786.14	12885.16	2
000990.SZ	20070123	24198.75	17.17	股权分置限售股份	70.99	53.82	17179.24	13024.07	2
600171.SS	20070123	61255.25	5.51	股权分置限售股份	58.47	52.97	35818.94	32446.18	2
600227.SS	20070124	17000	1.3	股权分置限售股份	56.88	55.59	9670.37	9450	2
600739.SS	20070124	49844.81	20.1	股权分置限售股份	79.8	59.69	39774.93	29754.41	2
600583.SS	20070124	79200	10.36	股权分置限售股份	50.04	39.68	39629.52	31426.56	2
000806.SZ	20070124	63565	15.26	股权分置限售股份	79.02	63.76	50230.12	40530.24	2
002108.SZ	20070124	6875	20.94	首发一般股份	20.94		1439.95	0	1
002107.SZ	20070124	6999	20.57	首发一般股份	20.57		1440	0	1
600160.SS	20070125	55680	6.37	股权分置限售股份	47.98	41.61	26715	23166	2
600508.SS	20070125	72271.8	1.95	股权分置限售股份	37.57	35.62	27152.67	25740	2
001696.SZ	20070125	21350.78	0.7	股权分置限售股份	49.68	48.98	10606.72	10457.43	2
600516.SS	20070125	40000	24.19	股权分置对价股份	44.19	20	17677	8000	1
600645.SS	20070125	32504.1	21.09	股权分置对价股份	51.28	30.2	16669.72	9815.54	1
002075.SZ	20070125	19800	9.09	首发机构配售股份	45.45	36.36	9000	7200	2
600576.SS	20070125	21809.31	11	股权分置对价股份	38.52	27.51	8400	6000	1
002076.SZ	20070125	10237.26	5.08	首发机构配售股份	25.4	20.32	2600	2080	2
000677.SZ	20070125	41134.9	3.86	股权分置限售股份	49.27	45.41	20267.91	18681.06	2
600260.SS	20070126	26382	0.38	股权分置限售股份	78.38	77.99	20677.41	20576.53	4
601002.SS	20070126	73847	22.75	首发一般股份	22.75		16800	0	1
002109.SZ	20070126	16000	20	首发一般股份	20		3200	0	1
002110.SZ	20070126	53470	14.96	首发一般股份	14.96		8000	0	1
002111.SZ	20070126	8470	20.02	首发一般股份	20.02		1696	0	1
000609.SZ	20070129	14904.78	13.04	股权分置对价股份	46.01	32.97	6857.99	4914	1
002042.SZ	20070129	10000	7.45	股权分置限售股份	59.45	52	5945.09	5200	2
000685.SZ	20070129	22542.3	2.53	股权分置限售股份	57.09	54.56	12868.98	12299.08	2
601398.SS	20070129	33401885	0.7	首发机构配售股份	2.75	2.05	918078	683078	2
600708.SS	20070130	35690.23	0.26	股权分置限售股份	61.67	61.41	22010.79	21918.78	3
000863.SZ	20070131	17462.03	22.32	股权分置对价股份	44.66	22.33	7797.82	3900	1
600249.SS	20070201	15000	1.99	内部职工股	55.19	53.2	8278.05	7980	2
600158.SS	20070201	25364.82	8.4	股权分置对价股份	38.38	29.98	9734.4	7605	1
600290.SS	20070201	17430	3.61	股权分置对价股份	39.76	36.14	6930	6300	1
601006.SS	20070201	1297675.71	3.5	首发机构配售股份	16.35	12.84	212122.6	166668.05	3
