代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600069.SH	2004-08-05	信息披露虚假或严重误导性陈述	周家银	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600069.SH	2004-08-05	信息披露虚假或严重误导性陈述	程志伟	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
601018.SH	2004-08-02	涉嫌违法	宁波国际银行	公司控股参股公司	处罚决定	中国银行业监督管理委员会			是	交通运输、仓储和邮政业	港口
600371.SH	2004-07-30	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	农、林、牧、渔业	种子
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	向选华	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	陈庆华	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	航空
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	彭善文	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	罗建	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	王俊峰	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	刘虹	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	制造业	白酒
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	颜秀英	公司高管	公开处罚	中国证券监督管理委员会	5	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	付光明	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	宋清宏	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	曹宏杰	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
600313.SH	2004-07-27	未及时披露公司重大事项	李伟斌	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	农、林、牧、渔业	农产品加工
600313.SH	2004-07-27	未及时披露公司重大事项	黄金钅监	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	农、林、牧、渔业	农产品加工
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	孙金林	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	房地产业	航空
600313.SH	2004-07-27	未及时披露公司重大事项	梁宝忠	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	农、林、牧、渔业	农产品加工
000622.SZ	2004-07-27	未及时披露公司重大事项			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》,《董事声明及承诺书》	否	制造业	汽车零部件
000799.SZ	2004-07-27	未及时披露公司重大事项,信息披露虚假或严重误导性陈述	杨建军	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	制造业	白酒
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	王也难	公司高管	公开处罚	中国证券监督管理委员会	5	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	张宗平	公司高管	公开处罚	中国证券监督管理委员会	30	《中华人民共和国证券法》	否	房地产业	航空
600313.SH	2004-07-27	未及时披露公司重大事项	顾学明	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	农、林、牧、渔业	农产品加工
600069.SH	2004-07-27	信息披露虚假或严重误导性陈述	赵磊	公司高管	公开处罚	中国证券监督管理委员会	0	《股票发行与交易管理暂行条例》,《中华人民共和国证券法》	是	制造业	造纸
600862.SH	2004-07-27	信息披露虚假或严重误导性陈述	赵海泉	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	房地产业	航空
