代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11
sid	date	d	d	d	d	d	c	d	d	d	d
600764.SS	20090330	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	熊克力	公司高管	公开处罚	中国证券监督管理委员会	3	《中华人民共和国证券法》	否	信息传输、软件和信息技术服务业	集成电路
600143.SS	20090403	涉嫌违反证券法律法规	金发科技股份有限公司	公司本身	立案调查	中国证券监督管理委员会			是	制造业	塑料制品
600585.SS	20090404	涉嫌违反证券法律法规	安徽海螺水泥股份有限公司	公司本身	立案调查	中国证券监督管理委员会			是	制造业	水泥
600720.SS	20090404	涉嫌违反证券法律法规	甘肃祁连山水泥集团股份有限公司	公司本身	立案调查	中国证券监督管理委员会			是	制造业	水泥
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	何洪达	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《证券市场禁入暂行规定》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	郝坤	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	刘贵亭	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《证券市场禁入暂行规定》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
600771.SS	20090407	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》	否	制造业	化学制剂
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	赵玉娟	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	段善文	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
600705.SS	20090407	未及时披露公司重大事项,未依法履行其他职责,信息披露虚假或严重误导性陈述	熊官云	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》,《股票发行与交易管理暂行条例》	否	金融业	其他非银行金融
