,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum
20160111,34.3,35.75,31.93,31.93,33.1101,2.9438,2469155.0,81753880.0,3263.0
20160112,31.77,32.57,29.6,31.56,31.2025,3.2989,2766961.0,86336227.0,4071.0
20160113,32.0,32.5,30.05,30.06,31.586,2.5536,2141864.0,67653017.0,2784.0
20160114,28.96,31.32,28.08,31.26,29.9076,3.0859,2588344.0,77411056.0,3277.0
20160115,30.9,31.5,29.0,29.45,30.5107,2.5285,2120832.0,64707999.0,2984.0
20160118,29.0,31.48,28.37,30.75,30.592,3.6644,3073570.0,94026502.0,4082.0
20160119,30.99,32.98,30.46,32.68,31.9558,3.8354,3216919.0,102799375.0,4485.0
20160120,32.68,33.94,32.01,32.73,32.9961,3.3768,2832288.0,93454370.0,4896.0
20160121,31.43,33.47,31.0,31.14,32.4213,3.135,2629511.0,85252042.0,4282.0
20160122,31.8,32.38,30.0,30.85,31.0143,3.0654,2571129.0,79741784.0,3533.0
20160125,31.3,32.21,31.15,31.74,31.7161,2.1439,1798213.0,57032233.0,3008.0
20160126,31.37,31.95,28.57,28.57,30.2982,2.8191,2364560.0,71641920.0,3811.0
20160127,28.48,28.99,25.8,27.7,26.8776,4.8867,4098757.0,110164850.0,4404.0
20160128,26.8,27.75,25.88,26.11,27.1202,3.2063,2689323.0,72934968.0,2580.0
20160129,26.12,28.2,26.11,28.0,27.2328,2.4125,2023511.0,55105776.0,2798.0
20160201,27.8,28.8,27.12,27.88,28.0973,1.7755,1489222.0,41843123.0,2132.0
20160202,27.98,29.46,27.98,29.3,29.079,1.7065,1431356.0,41622410.0,3041.0
20160203,28.94,30.3,28.67,30.03,29.7407,1.9434,1630047.0,48478721.0,2468.0
20160204,30.14,32.3,30.14,31.58,31.5021,2.1073,1767514.0,55680458.0,3760.0
20160205,31.8,32.17,31.0,31.36,31.4774,1.5739,1320154.0,41555082.0,2788.0
20160215,29.9,30.99,29.79,30.53,30.3214,1.8157,1522893.0,46176272.0,2842.0
20160216,30.9,32.1,30.5,32.1,31.6228,1.8534,1554561.0,49159590.0,3331.0
20160217,32.1,32.87,31.6,32.31,32.26,2.1672,1817729.0,58639893.0,2821.0
20160218,32.34,32.98,31.9,31.93,32.4049,2.151,1804132.0,58462683.0,2925.0
20160219,31.78,32.51,31.22,32.25,31.9177,1.7179,1440859.0,45988878.0,2756.0
20160222,32.7,32.96,32.0,32.25,32.3772,2.6797,2247637.0,72772210.0,3550.0
20160223,32.25,32.65,31.4,31.87,32.1228,2.0226,1696481.0,54495705.0,3075.0
20160224,31.4,32.15,30.12,31.56,31.2271,2.3312,1955319.0,61058979.0,3599.0
