股票,申万一级行业
600844.SH,125.000000
600845.SH,14.000000
600846.SH,109.000000
600847.SH,73.000000
600848.SH,73.000000
600849.SH,42.000000
600850.SH,15.000000
600851.SH,108.000000
600853.SH,56.000000
600854.SH,53.000000
600855.SH,15.000000
600856.SH,45.000000
600857.SH,14.000000
600858.SH,45.000000
600859.SH,45.000000
600860.SH,73.000000
600861.SH,45.000000
600862.SH,73.000000
600863.SH,20.000000
600864.SH,20.000000
600865.SH,45.000000
600866.SH,42.000000
600867.SH,42.000000
600868.SH,20.000000
600869.SH,42.000000
600870.SH,53.000000
600871.SH,37.000000
600872.SH,59.000000
600873.SH,73.000000
600874.SH,20.000000
600875.SH,73.000000
600876.SH,56.000000
600877.SH,7.000000
600879.SH,7.000000
600880.SH,14.000000
600881.SH,56.000000
600882.SH,37.000000
600883.SH,109.000000
600884.SH,108.000000
600885.SH,37.000000
600886.SH,20.000000
600887.SH,149.000000
600888.SH,67.000000
600889.SH,37.000000
600890.SH,59.000000
600891.SH,45.000000
600892.SH,109.000000
600893.SH,7.000000
600894.SH,157.000000
600895.SH,59.000000
600896.SH,9.000000
600897.SH,9.000000
600898.SH,45.000000
600900.SH,20.000000
600960.SH,73.000000
600961.SH,67.000000
600962.SH,149.000000
600963.SH,125.000000
600965.SH,30.000000
600966.SH,125.000000
600967.SH,7.000000
600969.SH,20.000000
600970.SH,56.000000
600971.SH,133.000000
600973.SH,73.000000
600975.SH,30.000000
600976.SH,42.000000
600978.SH,125.000000
600979.SH,20.000000
600980.SH,67.000000
600981.SH,45.000000
600982.SH,20.000000
600983.SH,53.000000
600984.SH,73.000000
600985.SH,37.000000
600986.SH,56.000000
600987.SH,108.000000
600988.SH,7.000000
600990.SH,7.000000
600991.SH,7.000000
600992.SH,157.000000
600993.SH,42.000000
600995.SH,20.000000
600997.SH,133.000000
601001.SH,133.000000
601002.SH,73.000000
601003.SH,157.000000
601005.SH,157.000000
601006.SH,9.000000
601007.SH,151.000000
601008.SH,9.000000
601009.SH,138.000000
601088.SH,133.000000
601099.SH,138.000000
601111.SH,9.000000
601166.SH,138.000000
601168.SH,67.000000
601169.SH,138.000000
601318.SH,138.000000
601328.SH,138.000000
601333.SH,9.000000
601390.SH,56.000000
601398.SH,138.000000
601588.SH,59.000000
601600.SH,67.000000
601601.SH,138.000000
601628.SH,138.000000
601666.SH,133.000000
601699.SH,133.000000
601808.SH,133.000000
601857.SH,133.000000
601866.SH,9.000000
601872.SH,9.000000
601898.SH,133.000000
601918.SH,133.000000
601919.SH,9.000000
601939.SH,138.000000
601988.SH,138.000000
601991.SH,20.000000
